Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
https://download.blender.org/demo/movies/Plumiferos_persecucion_casting.mpg,MPEG-PS,3 min 38 s,1 150 kb/s,352 pixels,288 pixels,25.000 FPS,std_test_1,56.76,0.85,301%,0:19.14
,,,,,,,std_test_2,57.11,0.75,293%,0:19.73
,,,,,,,std_test_3,57.18,0.75,299%,0:19.36
,,,,,,,tcmalloc_test_1,39.08,0.51,290%,0:13.64
,,,,,,,tcmalloc_test_2,39.20,0.54,294%,0:13.48
,,,,,,,tcmalloc_test_3,39.20,0.41,294%,0:13.44
https://www.youtube.com/watch?v=P3lvkEdRafs,WebM,31 min 21 s,14.3 Mb/s,3 840 pixels,2 026 pixels,23.976 FPS,std_test_1,33058.67,46.41,379%,2:25:29
,,,,,,,std_test_2,33097.01,47.91,381%,2:24:48
,,,,,,,std_test_3,33046.89,49.02,378%,2:25:38
,,,,,,,tcmalloc_test_1,33124.56,50.53,382%,2:24:38
,,,,,,,tcmalloc_test_2,33104.77,49.36,382%,2:24:38
,,,,,,,tcmalloc_test_3,33083.44,51.26,380%,2:25:02
https://streams.videolan.org/samples/3D/DSCF1928_fish.AVI,AVI,19 s 0 ms,8 316 kb/s,640 pixels,480 pixels,30.000 FPS,std_test_1,45.00,0.12,385%,0:11.70
,,,,,,,std_test_2,46.70,0.12,383%,0:12.21
,,,,,,,std_test_3,46.88,0.16,378%,0:12.41
,,,,,,,tcmalloc_test_1,44.57,0.14,376%,0:11.86
,,,,,,,tcmalloc_test_2,43.58,0.12,385%,0:11.32
,,,,,,,tcmalloc_test_3,43.51,0.11,383%,0:11.37
https://www.youtube.com/watch?v=soSp8sx6hHc,WebM,41 min 55 s,2 518 kb/s,1 920 pixels,1 080 pixels,29.970 FPS,std_test_1,13811.88,25.94,391%,58:55.71
,,,,,,,std_test_2,13812.54,25.27,391%,58:53.52
,,,,,,,std_test_3,13791.59,25.88,390%,58:54.38
,,,,,,,tcmalloc_test_1,13825.34,29.33,388%,59:24.47
,,,,,,,tcmalloc_test_2,13825.54,27.96,390%,59:10.37
,,,,,,,tcmalloc_test_3,14190.68,57.10,358%,1:06:12
http://download.opencontent.netflix.com.s3.amazonaws.com/CosmosLaundromat/CosmosLaundromat_2k24p_HDR_P3PQ.mp4,MPEG-4,12 min 38 s,7 689 kb/s,2 048 pixels,858 pixels,23.976 FPS,std_test_1,3302.78,5.40,395%,13:57.17
,,,,,,,std_test_2,3307.99,5.38,395%,13:57.89
,,,,,,,std_test_3,3296.67,5.62,394%,13:56.14
,,,,,,,tcmalloc_test_1,3307.44,06.02,391%,14:06.23
,,,,,,,tcmalloc_test_2,3318.83,5.87,393%,14:04.66
,,,,,,,tcmalloc_test_3,3315.73,5.56,395%,14:00.02
https://streams.videolan.org/samples/3D/Dracula%20480p.wmv,Windows Media,52 s 736 ms,6 000 kb/s,1 440 pixels,480 pixels,30.000 FPS,std_test_1,95.96,0.23,378%,0:25.42
,,,,,,,std_test_2,95.81,0.27,378%,0:25.38
,,,,,,,std_test_3,95.61,0.25,377%,0:25.42
,,,,,,,tcmalloc_test_1,95.85,0.33,376%,0:25.52
,,,,,,,tcmalloc_test_2,95.91,0.30,378%,0:25.43
,,,,,,,tcmalloc_test_3,95.83,0.27,378%,0:25.42
https://streams.videolan.org/samples/Matroska/V_MPEG_ISO/soraya.mkv,Matroska,3 min 57 s,2 164 kb/s,544 pixels,480 pixels,21.533 FPS,std_test_1,244.34,1.35,377%,1:05.15
,,,,,,,std_test_2,244.67,1.71,356%,1:09.13
,,,,,,,std_test_3,243.78,1.32,379%,1:04.58
,,,,,,,tcmalloc_test_1,175.57,0.98,373%,0:47.26
,,,,,,,tcmalloc_test_2,179.71,1.12,375%,0:48.11
,,,,,,,tcmalloc_test_3,180.06,0.84,374%,0:48.25
https://streams.videolan.org/samples/avi/SHOT0001.AVI,AVI,12 s 12 ms,7 936 kb/s,1 280 pixels,720 pixels,29.970 FPS,std_test_1,56.91,0.21,383%,0:14.88
,,,,,,,std_test_2,53.94,0.16,388%,0:13.91
,,,,,,,std_test_3,55.29,0.19,367%,0:15.08
