Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
https://streams.videolan.org/samples/3D/DSCF1928_fish.AVI,mjpeg (MJPG / 0x47504A4D),19 s 0 ms,8 316 kb/s,640 pixels,480 pixels,30.000 FPS,std_test_1,42.99,0.16,376%,0:11.47
,,,,,,,std_test_2,43.60,0.10,377%,0:11.58
,,,,,,,std_test_3,43.53,0.12,380%,0:11.46
,,,,,,,tcmalloc_test_1,43.03,0.19,378%,0:11.42
,,,,,,,tcmalloc_test_2,43.81,0.13,383%,0:11.46
,,,,,,,tcmalloc_test_3,43.73,0.12,382%,0:11.46
https://www.youtube.com/watch?v=soSp8sx6hHc,vp9 (Profile 0),41 min 55 s,2 518 kb/s,1 920 pixels,1 080 pixels,29.970 FPS,std_test_1,13901.06,28.84,389%,59:35.58
,,,,,,,std_test_2,13923.16,29.32,385%,1:00:17
,,,,,,,std_test_3,13989.22,35.04,377%,1:01:56
,,,,,,,tcmalloc_test_1,13833.63,28.03,387%,59:35.20
,,,,,,,tcmalloc_test_2,13840.06,26.76,389%,59:18.18
,,,,,,,tcmalloc_test_3,13829.05,26.11,389%,59:12.86
http://download.opencontent.netflix.com.s3.amazonaws.com/CosmosLaundromat/CosmosLaundromat_2k24p_HDR_P3PQ.mp4,h264 (High) (avc1 / 0x31637661),12 min 38 s,7 689 kb/s,2 048 pixels,858 pixels,23.976 FPS,std_test_1,3330.05,6.40,392%,14:10.21
,,,,,,,std_test_2,3330.71,5.83,393%,14:08.36
,,,,,,,std_test_3,3332.22,5.71,393%,14:08.62
,,,,,,,tcmalloc_test_1,3315.08,5.72,375%,14:45.08
,,,,,,,tcmalloc_test_2,3320.63,4.97,394%,14:03.84
,,,,,,,tcmalloc_test_3,3316.95,5.41,393%,14:04.46
https://streams.videolan.org/samples/3D/Dracula%20480p.wmv,vc1 (Advanced) (WVC1 / 0x31435657),52 s 736 ms,6 000 kb/s,1 440 pixels,480 pixels,30.000 FPS,std_test_1,96.21,0.30,376%,0:25.65
,,,,,,,std_test_2,96.17,0.23,376%,0:25.58
,,,,,,,std_test_3,96.21,0.27,375%,0:25.66
,,,,,,,tcmalloc_test_1,97.30,0.27,375%,0:25.99
,,,,,,,tcmalloc_test_2,96.27,0.32,377%,0:25.55
,,,,,,,tcmalloc_test_3,96.35,0.27,377%,0:25.57
https://streams.videolan.org/samples/Matroska/V_MPEG_ISO/soraya.mkv,mpeg2video (Main),3 min 57 s,2 164 kb/s,544 pixels,480 pixels,21.533 FPS,std_test_1,244.34,1.35,377%,1:05.15
,,,,,,,std_test_2,244.67,1.71,356%,1:09.13
,,,,,,,std_test_3,243.78,1.32,379%,1:04.58
,,,,,,,tcmalloc_test_1,175.57,0.98,373%,0:47.26
,,,,,,,tcmalloc_test_2,179.71,1.12,375%,0:48.11
,,,,,,,tcmalloc_test_3,180.06,0.84,374%,0:48.25
https://streams.videolan.org/samples/avi/SHOT0001.AVI,h264 (Main) (H264 / 0x34363248),12 s 12 ms,7 936 kb/s,1 280 pixels,720 pixels,29.970 FPS,std_test_1,54.32,0.20,384%,0:14.17
,,,,,,,std_test_2,54.45,0.10,386%,0:14.13
,,,,,,,std_test_3,55.72,0.15,385%,0:14.48
,,,,,,,tcmalloc_test_1,57.82,0.20,385%,0:15.04
,,,,,,,tcmalloc_test_2,54.25,0.19,385%,0:14.10
,,,,,,,tcmalloc_test_3,54.29,0.18,386%,0:14.10
https://streams.videolan.org/samples/Divx4-bugs/divx4b153_badmacroblock.avi,msmpeg4v3 (DIV3 / 0x33564944),44 s 0 ms,128 kb/s,576 pixels,312 pixels,25.000 FPS,std_test_1,21.01,0.14,364%,0:05.80
,,,,,,,std_test_2,21.45,0.11,367%,0:05.86
,,,,,,,std_test_3,21.42,0.11,367%,0:05.86
,,,,,,,tcmalloc_test_1,21.86,0.16,321%,0:06.84
,,,,,,,tcmalloc_test_2,21.80,0.18,316%,0:06.95
,,,,,,,tcmalloc_test_3,21.84,0.14,329%,0:06.66
https://download.blender.org/demo/movies/Sintel.2010.720p.mkv,h264 (High),14 min 48 s,5 500 kb/s,1 280 pixels,544 pixels,24.000 FPS,std_test_1,1602.45,4.80,383%,6:58.76
,,,,,,,std_test_2,1600.64,4.65,384%,6:57.50
,,,,,,,std_test_3,1602.25,4.46,384%,6:57.63
